name,checked,lemma,path,dictionary,group,actor
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abandonar2.wmv'],Acessibilidades2,0,1
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abandonar1.wmv'],Acessibilidades2,0,1
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc/videos/ABANDONAR.mp4'],UFSC,0,44
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abandonar1Sm_Prog001.mp4'],Acessibilidades3,0,2
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abandonar2Sm_Prog001.mp4'],Acessibilidades3,1,2
abandonar,abandonar,abandonar,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ABANDONAR.mp4'],UFSC_V2,0,42
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abrir3.wmv'],Acessibilidades2,3,1
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/youtube_v2/videos/Libras - Abrir (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,3,41
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abrir1Sm_Prog001.mp4'],Acessibilidades3,0,2
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufv/videos/01553-Abrir.mp4'],UFV,3,48
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abrir3Sm_Prog001.mp4'],Acessibilidades3,3,2
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abrir5Sm_Prog001.mp4'],Acessibilidades3,4,2
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abrir2Sm_Prog001.mp4'],Acessibilidades3,2,2
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_3/videos/abrir4Sm_Prog001.mp4'],Acessibilidades3,1,2
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abrir1.wmv'],Acessibilidades2,0,1
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/acessibilidade_2/videos/abrir2.wmv'],Acessibilidades2,2,1
abrir,abrir,abrir,['/mnt/B-SSD/LIBRAS-dataset/datasets/ufsc_v2/videos/ABRIR.mp4'],UFSC_V2,5,42
