original,checked,lemma,path,dictionary
bandaid,bandaid,bandaid,['./datasets/acessibilidade_2/videos/bandaid.wmv'],Acessibilidades2
lagartixa,lagartixa,lagartixa,['./datasets/acessibilidade_2/videos/lagartixa.wmv'],Acessibilidades2
aroma,aroma,aroma,['./datasets/acessibilidade_2/videos/aroma.wmv'],Acessibilidades2
quando,quando,quando,"['./datasets/acessibilidade_2/videos/quando1.wmv', './datasets/acessibilidade_2/videos/quando2.wmv']",Acessibilidades2
escoces,escocês,escoce,['./datasets/acessibilidade_2/videos/escoces.wmv'],Acessibilidades2
pegar,pegar,pegar,"['./datasets/acessibilidade_2/videos/pegar3.wmv', './datasets/acessibilidade_2/videos/pegar2.wmv', './datasets/acessibilidade_2/videos/pegar1.wmv']",Acessibilidades2
casado,casado,casado,['./datasets/acessibilidade_2/videos/casado.wmv'],Acessibilidades2
policial,policial,policial,['./datasets/acessibilidade_2/videos/policial.wmv'],Acessibilidades2
sobre,sobre,sobre,"['./datasets/acessibilidade_2/videos/sobre1.wmv', './datasets/acessibilidade_2/videos/sobre2.wmv', './datasets/acessibilidade_2/videos/sobre3.wmv']",Acessibilidades2
enceradeira,enceradeira,enceradeira,['./datasets/acessibilidade_2/videos/enceradeira.wmv'],Acessibilidades2
rascunho,rascunho,rascunho,['./datasets/acessibilidade_2/videos/rascunho.wmv'],Acessibilidades2
perfurar,perfurar,perfurar,['./datasets/acessibilidade_2/videos/perfurar.wmv'],Acessibilidades2
pano,pano,pano,"['./datasets/acessibilidade_2/videos/pano3.wmv', './datasets/acessibilidade_2/videos/pano1.wmv', './datasets/acessibilidade_2/videos/pano2.wmv']",Acessibilidades2
queimado,queimado,queimar,"['./datasets/acessibilidade_2/videos/queimado1.wmv', './datasets/acessibilidade_2/videos/queimado2.wmv']",Acessibilidades2
carie,carie,carie,['./datasets/acessibilidade_2/videos/carie.wmv'],Acessibilidades2
batedeira,batedeira,Batedeira,['./datasets/acessibilidade_2/videos/batedeira.wmv'],Acessibilidades2
acender,acender,acender,"['./datasets/acessibilidade_2/videos/acender2.wmv', './datasets/acessibilidade_2/videos/acender1.wmv', './datasets/acessibilidade_2/videos/acender3.wmv', './datasets/acessibilidade_2/videos/acender4.wmv']",Acessibilidades2
