name,checked,lemma,path,dictionary,Link,Instituicao
europa,europa,Europa,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01028-europa.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01028-europa.mp4,UFV
água de coco,água de coco,água,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/água-de-coco.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/%C3%A1gua-de-coco.mp4,UFV
ainda,ainda,ainda,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01578-Ainda.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01578-Ainda.mp4,UFV
conversar,conversar,conversar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01622-Conversar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01622-Conversar.mp4,UFV
feijoada,feijoada,feijoar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/feijoada.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feijoada.mp4,UFV
banana,banana,banano,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/banana.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/banana.mp4,UFV
desligado,desligado,desligar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/desligado.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/desligado.mp4,UFV
cozinha,cozinha,cozinha,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/688-cozinha.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/688-cozinha.mp4,UFV
ficar permanecer,ficar permanecer,ficar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01674-ficar-permanecer.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01674-ficar-permanecer.mp4,UFV
setembro,setembro,setembro,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01533-Setembro.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01533-Setembro.mp4,UFV
aindanão,aindanão,aindanão,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1337-aindanão.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1337-aindan%C3%A3o.mp4,UFV
adesivo,adesivo,adesivo,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/1283-adesivo.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1283-adesivo.mp4,UFV
assistir,assistir,assistir,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01595-Assistir.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01595-Assistir.mp4,UFV
bisavô,bisavô,Bisavô,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/893-bisavô.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/893-bisav%C3%B4.mp4,UFV
skate,skate,skate,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/00986-skate.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00986-skate.mp4,UFV
cadeira,cadeira,cadeira,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01462-Cadeira.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01462-Cadeira.mp4,UFV
lata,lata,latar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01484-Lata.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01484-Lata.mp4,UFV
pecar,pecar,pecar,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01726-pecar.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01726-pecar.mp4,UFV
março,março,março,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/01526-Março.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01526-Mar%C3%A7o.mp4,UFV
pente,pente,pente,['/mnt/E-SSD/LIBRAS_datasets/datasets/ufv/videos/00945-pente.mp4'],UFV,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00945-pente.mp4,UFV
