original,checked,lemma,path,dictionary,group,actor
0,0,0,['./datasets/youtube_v2/videos/Libras - 0 (1080p_30fps_VP9-128kbit_AAC).mkv'],Youtube,0,41
1,1,1,['./datasets/spread_the_sign/videos/1.mp4'],SpreadTheSign,0,3
1,1,1,['./datasets/youtube_v2/videos/Libras - 1 (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
10,10,10,['./datasets/youtube_v2/videos/Libras - 10 (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
10,10,10,['./datasets/spread_the_sign/videos/10.mp4'],SpreadTheSign,0,3
100,100,100,['./datasets/spread_the_sign/videos/100.mp4'],SpreadTheSign,0,3
100,100,100,['./datasets/youtube_v2/videos/Libras - 100 (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
1000,1000,1000,['./datasets/spread_the_sign/videos/1000.mp4'],SpreadTheSign,0,3
1000000,1000000,1000000,['./datasets/spread_the_sign/videos/1000000.mp4'],SpreadTheSign,0,3
11,11,11,['./datasets/spread_the_sign/videos/11.mp4'],SpreadTheSign,0,3
12,12,12,['./datasets/spread_the_sign/videos/12.mp4'],SpreadTheSign,0,3
13,13,13,['./datasets/spread_the_sign/videos/13.mp4'],SpreadTheSign,0,3
14,14,14,['./datasets/spread_the_sign/videos/14.mp4'],SpreadTheSign,0,3
15,15,15,['./datasets/spread_the_sign/videos/15.mp4'],SpreadTheSign,0,3
16,16,16,['./datasets/spread_the_sign/videos/16.mp4'],SpreadTheSign,0,3
17,17,17,['./datasets/spread_the_sign/videos/17.mp4'],SpreadTheSign,0,3
18,18,18,['./datasets/spread_the_sign/videos/18.mp4'],SpreadTheSign,0,3
19,19,19,['./datasets/spread_the_sign/videos/19.mp4'],SpreadTheSign,0,3
20,20,20,['./datasets/spread_the_sign/videos/20.mp4'],SpreadTheSign,0,3
20,20,20,['./datasets/youtube_v2/videos/Libras - 20 (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
21,21,21,['./datasets/spread_the_sign/videos/21.mp4'],SpreadTheSign,0,3
22,22,22,['./datasets/spread_the_sign/videos/22.mp4'],SpreadTheSign,0,3
23,23,23,['./datasets/spread_the_sign/videos/23.mp4'],SpreadTheSign,0,3
24,24,24,['./datasets/spread_the_sign/videos/24.mp4'],SpreadTheSign,0,3
25,25,25,['./datasets/spread_the_sign/videos/25.mp4'],SpreadTheSign,0,3
26,26,26,['./datasets/spread_the_sign/videos/26.mp4'],SpreadTheSign,0,3
27,27,27,['./datasets/spread_the_sign/videos/27.mp4'],SpreadTheSign,0,3
28,28,28,['./datasets/spread_the_sign/videos/28.mp4'],SpreadTheSign,0,3
29,29,29,['./datasets/spread_the_sign/videos/29.mp4'],SpreadTheSign,0,3
30,30,30,['./datasets/spread_the_sign/videos/30.mp4'],SpreadTheSign,0,3
30,30,30,['./datasets/youtube_v2/videos/Libras - 30 (1080p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
40,40,40,['./datasets/spread_the_sign/videos/40.mp4'],SpreadTheSign,0,3
40,40,40,['./datasets/youtube_v2/videos/Libras - 40 (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
500,500,500,['./datasets/spread_the_sign/videos/500.mp4'],SpreadTheSign,0,3
6,6,6,['./datasets/youtube_v2/videos/Libras - 6 (720p_30fps_H264-128kbit_AAC).mp4'],Youtube,0,41
6,6,6,['./datasets/spread_the_sign/videos/6.mp4'],SpreadTheSign,0,3
61,61,61,['./datasets/spread_the_sign/videos/61.mp4'],SpreadTheSign,0,3
62,62,62,['./datasets/spread_the_sign/videos/62.mp4'],SpreadTheSign,0,3
63,63,63,['./datasets/spread_the_sign/videos/63.mp4'],SpreadTheSign,0,3
64,64,64,['./datasets/spread_the_sign/videos/64.mp4'],SpreadTheSign,0,3
