Palavra,Link,Instituicao
europa,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01028-europa.mp4,UFV
água de coco,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/%C3%A1gua-de-coco.mp4,UFV
ainda,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01578-Ainda.mp4,UFV
conversar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01622-Conversar.mp4,UFV
feijoada,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/feijoada.mp4,UFV
banana,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/banana.mp4,UFV
desligado,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/desligado.mp4,UFV
cozinha,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/688-cozinha.mp4,UFV
ficar permanecer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01674-ficar-permanecer.mp4,UFV
setembro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01533-Setembro.mp4,UFV
aindanão,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1337-aindan%C3%A3o.mp4,UFV
adesivo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1283-adesivo.mp4,UFV
assistir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01595-Assistir.mp4,UFV
bisavô,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/893-bisav%C3%B4.mp4,UFV
skate,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00986-skate.mp4,UFV
cadeira,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01462-Cadeira.mp4,UFV
lata,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01484-Lata.mp4,UFV
pecar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01726-pecar.mp4,UFV
março,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01526-Mar%C3%A7o.mp4,UFV
pente,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00945-pente.mp4,UFV
india,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01035-india.mp4,UFV
contabilidade,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01119-contabilidade.mp4,UFV
faxineiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01416-Faxineiro.mp4,UFV
jogar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01683-jogar.mp4,UFV
automática,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/autom%C3%A1tica.mp4,UFV
enfermeiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01413-Enfermeiro.mp4,UFV
horaextra,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1187-horaextra.mp4,UFV
faringe,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01165-faringe.mp4,UFV
pulseira,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/874-pulseira.mp4,UFV
espaçoso,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/espa%C3%A7oso.mp4,UFV
amora,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/amora.mp4,UFV
excluir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/excluir.mp4,UFV
saopaulo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1271-saopaulo.mp4,UFV
fazer,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01671-fazer.mp4,UFV
antes,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01513-Antes.mp4,UFV
grecia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01034-grecia.mp4,UFV
cogumelo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cogumelo.mp4,UFV
violao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00956-violao.mp4,UFV
urina,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1305-urina.mp4,UFV
comparar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01615-Comparar.mp4,UFV
ofender,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01717-ofender.mp4,UFV
grupo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1360-grupo.mp4,UFV
cabelo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01155-cabelo.mp4,UFV
fermento,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01673-fermento.mp4,UFV
cola,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1292-cola.mp4,UFV
noivo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/920-noivo.mp4,UFV
ingresso,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1189-ingresso.mp4,UFV
motorista,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01425-Motorista.mp4,UFV
cabide,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01461-Cabide.mp4,UFV
corrigir,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01626-Corrigir.mp4,UFV
endereco,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01022-endereco.mp4,UFV
violino,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00957-violino.mp4,UFV
cesto de lixo,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01463-Cesto-de-lixo.mp4,UFV
bebê,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01603-Beb%C3%AA.mp4,UFV
eleicao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/457-eleicao.mp4,UFV
acrescentar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01563-Acrescentar.mp4,UFV
convidar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01623-Convidar.mp4,UFV
propaganda,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01147-propaganda.mp4,UFV
chocolate,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/chocolate.mp4,UFV
regua,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1219-regua.mp4,UFV
abraçar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01552-Abra%C3%A7ar.mp4,UFV
camera,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/camera.mp4,UFV
aguia,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/645-aguia.mp4,UFV
continuar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01621-Continuar.mp4,UFV
psiquiatra,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01436-Psiquiatra.mp4,UFV
caveira,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caveira.mp4,UFV
carta,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/09/01125-carta.mp4,UFV
cerveja,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cerveja.mp4,UFV
quinta,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/761-quinta.mp4,UFV
cortina,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01472-Cortina.mp4,UFV
lapizeira,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1215-lapizeira.mp4,UFV
dinossauro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dinossauro.mp4,UFV
calendario,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01514-Calendario.mp4,UFV
me avisar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01696-me-avisar.mp4,UFV
carneiro,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/carneiro.mp4,UFV
sabonete,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00947-sabonete.mp4,UFV
moeda,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1194-moeda.mp4,UFV
lingua,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/837-lingua.mp4,UFV
dedo polegar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dedo-polegar.mp4,UFV
disputar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01646-disputar.mp4,UFV
nora,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/921-nora.mp4,UFV
anotar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01588-Anotar.mp4,UFV
baruho,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/baruho.mp4,UFV
informacao,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01138-informacao.mp4,UFV
piada,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/10/01145-piada.mp4,UFV
acompanhar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01558-Acompanhar.mp4,UFV
alface,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/alface.mp4,UFV
achar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01556-Achar.mp4,UFV
advogado,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1399-advogado.mp4,UFV
onibus,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/04/01546-Onibus.mp4,UFV
couve,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/couve.mp4,UFV
arrumar,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01594-Arrumar.mp4,UFV
criança,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/894-crian%C3%A7a.mp4,UFV
